#,Team Name,Easy 1,Easy 2,Easy 3,Easy 4,Easy 5,Medium 1,Medium 2,Medium 3,Medium 4,Medium 5,Hard 1,Hard 2,Hard 3,Hard 4,Hard 5,Total score
50,"The Wizards of Python
Jacob Kim, Teagan Toward, Kathleen Traweek, Alex Friesen",50,50,50,10,50,,,100,,,,,,,,310
51,"return to_sleep;
Abhay Raj",50,50,50,10,50,,,100,,,,,,,,310
52,"Ninja Turtles
Arav Pushkar, Ayush Agarwal, Shubh Jain",50,50,50,10,0,0,0,100,20,0,0,0,0,0,0,280
53,"Tesla
Arthur Kim",50,50,50,10,,,,100,,,,,,,,260
54,"BarbarianMatt's Cool Team
Matthew Pana",50,50,50,50,50,,,,,,,,0,,,250
55,"The Blossoms
Cindy Xiao",50,50,50,30,50,,,,,,,,,,,230
56,"Code Red
Emily Hwang, Luke You , Matthew Song",50,50,0,10,,,,,,,90,,,,,200
57,"Code4Life
Vishnu Iyer, Amish Tyagi",,,,50,50,,,,,,,,60,,,160
58,"idk
Sarah Zhou",50,50,50,,,,,,,,,,,,0,150
59,"JellyBean
Nathan Regan, Derek Zhang",50,50,50,0,,,,,,,,,,,,150
60,"Brogrammers
Kavya Selvakumar, Sanjita Rishikesan, Nitya Lagadapati , Grace Oh",50,40,40,0,,,,,,,,,,,,130
61,"EpicCoders
Akshara Saha, Samraat Saha",50,0,50,20,0,,,,,,,,,,,120
62,"WBHS Coding Club is cooooooool
Ryan Maki, Hannah Zawaideh, Brandon Rones, Eesh Garg",50,0,50,10,0,,,,,,,,,,0,110
63,"Brandon Wang
Brandon Wang",50,50,0,,,,,,,,,,,,,100
64,"C-3PO
Rohan Chopra, George Hu, Andy Jiang",50,50,0,0,0,0,,,,,0,0,,,,100
65,"poggggist
1",,,,40,,,60,,,0,,0,,,,100
66,"Seattle Waldorf
Harsha Venkatesh, Declan Miller, Yonas Khalil",50,0,40,10,0,,,,,,,,,,,100
67,"RSG
Mihir Srivastava",50,0,10,0,,,,,,,,,,,,60
68,"corndog
Anna",50,0,10,,,,,,,,,,,,,60
69,"RMS READERS
Jacob Light, Ben Lewis, Olivia Teigen",50,,,0,,,,,,,,,,,,50
70,"GeometryReview
Mya Nguyen, Chloe Miller, Anousha Mukherjee, Reni Dadhia",50,,0,0,,,,,,,,,,,,50
71,"Lumpy Ducks
Ariana Yi, Kari Wu",0,50,,,,,,,,,,,,,,50
